Fid,pid,ptime,date_time,src_ip_address,dst_ip_address,frame_protos,src_port,dst_port,sbytes,dbytes,uid,Label
10.42.0.151-54.197.254.190-57556-443-6,44089887,32:57.9,2022-12-16 02:00:59+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,504,CSgYjR3XciAUhHRFS5,1
172.217.10.106-10.42.0.151-443-60962-6,44089888,32:57.9,2022-12-16 02:01:23+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,956,CSgYjR3XciAUhHRFS5,1
10.42.0.211-23.194.108.102-34232-443-6,44090010,32:57.9,2022-12-16 02:01:56+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,956,CSgYjR3XciAUhHRFS5,1
10.42.0.211-91.190.218.61-38957-12350-6,44090011,32:57.9,2022-12-16 02:05:17+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.211-23.61.10.242-43231-443-6,44090012,32:57.9,2022-12-16 02:05:38+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.211-119.146.74.33-53505-443-6,44090013,32:57.9,2022-12-16 02:05:44+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
174.129.31.175-10.42.0.211-443-45457-6,44090015,32:57.9,2022-12-16 02:06:03+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.1-10.42.0.42-53-62300-17,44090016,32:57.9,2022-12-16 02:07:47+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
206.108.0.134-10.42.0.211-123-42625-17,44090017,32:57.9,2022-12-16 02:10:05+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.42-119.146.74.33-40537-443-6,44090018,32:57.9,2022-12-16 02:11:29+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.151-104.192.110.245-43126-80-6,44090023,32:57.9,2022-12-16 02:15:27+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-119.146.74.33-54393-443-6,44090024,32:57.9,2022-12-16 02:15:07+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.211-77.234.41.79-59447-443-6,44090025,32:57.9,2022-12-16 02:15:07+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,504,CSgYjR3XciAUhHRFS5,0
172.217.6.234-10.42.0.211-443-34658-6,44090026,32:57.9,2022-12-16 02:16:29+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,504,CSgYjR3XciAUhHRFS5,1
172.217.10.234-10.42.0.151-443-51267-6,44090182,32:58.0,2022-12-16 02:40:20+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
172.217.10.133-10.42.0.42-443-36814-6,44090185,32:58.0,2022-12-16 02:41:53+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
172.217.3.106-10.42.0.151-443-41941-6,44090186,32:58.0,2022-12-16 02:43:06+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.211-77.234.42.92-33398-443-6,44090189,32:58.0,2022-12-16 02:45:37+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
172.217.10.129-10.42.0.211-443-57533-6,44090190,32:58.0,2022-12-16 02:46:21+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.151-103.7.30.118-43239-80-6,44090192,32:58.0,2022-12-16 02:46:40+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.211-66.102.255.61-38612-443-6,44090193,32:58.0,2022-12-16 02:49:40+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
172.217.12.131-10.42.0.151-80-45016-6,44090194,32:58.0,2022-12-16 02:50:16+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-98.139.183.24-51503-80-6,44090195,32:58.0,2022-12-16 02:50:49+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.211-118.178.116.121-43020-9999-6,44090286,32:58.1,2022-12-16 02:50:50+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
222.73.28.96-10.42.0.211-80-58362-6,44090287,32:58.1,2022-12-16 03:00:30+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.151-104.254.66.16-50012-80-6,44090288,32:58.1,2022-12-16 03:01:14+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
172.217.6.228-10.42.0.151-443-53415-17,44090305,32:58.1,2022-12-16 03:01:40+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
158.85.233.52-10.42.0.211-5222-58107-6,44090307,32:58.1,2022-12-16 03:03:34+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
172.217.12.142-10.42.0.151-443-50383-6,44090308,32:58.1,2022-12-16 03:03:56+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
151.101.117.140-10.42.0.211-443-45557-6,44090309,32:58.1,2022-12-16 03:12:08+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,363,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.42-14.29.93.243-52857-80-6,44090310,32:58.1,2022-12-16 03:12:29+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,363,504,CSgYjR3XciAUhHRFS5,0
10.42.0.42-106.39.169.66-36673-80-6,44090349,32:58.1,2022-12-16 03:14:47+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
172.217.6.227-10.42.0.151-80-36504-6,44090350,32:58.1,2022-12-16 03:23:36+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
172.217.7.163-10.42.0.211-443-32906-6,44090355,32:58.1,2022-12-16 03:23:48+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
192.229.173.173-10.42.0.151-80-39779-6,44090356,32:58.1,2022-12-16 03:27:40+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.211-104.88.5.204-57232-443-6,44090358,32:58.1,2022-12-16 03:29:17+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,353,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.211-36.110.213.49-56270-80-6,44090359,32:58.1,2022-12-16 03:29:17+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.151-10.42.0.1-61585-53-17,44090360,32:58.1,2022-12-16 03:29:45+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
140.205.61.26-10.42.0.211-80-47648-6,44090361,32:58.1,2022-12-16 03:36:01+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
